brand_key,brand_name,classification,country_of_origin,notes,confirmed,suggested_by,first_seen_run,updated_at
above40,Above 40,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T10:05:05+00:00
acmed,Acmed,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
acmist,AcMist,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
adhyay,Adhyay,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
adonis,Adonis,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
adtala,Adtala,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
adulthood,Adulthood,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
aegte,Aegte,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
ahaglow,Ahaglow,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
aiyuherbals,Aiyu Herbals,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
alpsgoodness,Alps Goodness,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
an45,AN45,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
antinorm,Antinorm,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
antson,Antson,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
aqueria,Aqueria,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
araviorganic,Aravi Organic,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T10:05:05+00:00
arishbionatural,Arish Bio-Natural,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T10:05:05+00:00
arkcollectives,Ark Collectives,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
asaya,Asaya,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
ashpveda,Ashpveda,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
atarstory,Atarstory,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
atrimed,Atrimed,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
attarayurveda,Attar Ayurveda,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
aulilifestyle,Auli Lifestyle,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T10:05:05+00:00
aurey,Aurey,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
auricbeauty,Auric Beauty,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
aurrelis,Aurrelis,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
avabritten,Avabritten,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
aviitum,Aviitum,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
avivabeauty,Aviva Beauty,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
axlon,Axlon,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T10:05:05+00:00
ayouthveda,Ayouthveda,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
ayuvya,Ayuvya,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
azah,Azah,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
babybeauty,Baby Beauty,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
babydove,Baby Dove,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
bake,Bake,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
banjaras,Banjara's,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
bareglow,Bare Glow,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
barepeel,Bare Peel,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
baredbeauty,Bared Beauty,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
basicessentials,Basic Essentials,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T10:05:05+00:00
battlecry,Battle Cry,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
bbold,Bbold,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
beneude,Be Neude,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
beardhood,Beardhood,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
beautypeople,Beauty People,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
beautsecrets,Beauté Secrets,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
becalm,Becalm,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
beebeauty,Bee & Beauty,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
bellalocks,BellaLocks,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
benzac,Benzac,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
beotkkot,Beotkkot,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
berlynco,Berlynco,Unclassified,,,false,none,2026-09-09T2105Z,2026-09-10T00:43:50+00:00
